X,CCX3MWT1,CCX3MWT3,CCX3MWT4,CCX3MWT5,CCX3MWT6,CCX3MTG1,CCX3MTG3,CCX3MTG4,CCX3MTG5,CCX3MTG6,CCX6MWT1,CCX6MWT2,CCX6MWT3,CCX6MWT4,CCX6MWT5,CCX6MTG1,CCX6MTG3,CCX6MTG4,CCX6MTG5,CCX6MTG6
ENSMUSG00000025104,12.76665871,12.55410039,12.7142581,12.63132672,12.73355523,12.73261171,12.71260772,12.72011175,12.82067923,12.7563982,12.58968647,12.60656711,12.61130357,12.67189493,12.64383468,12.49900131,12.58645505,12.46046795,12.47303113,12.50285067
ENSMUSG00000025128,10.86706012,10.69620338,10.71548888,10.84274751,10.79755994,10.88718405,10.77709808,10.68161054,10.78209938,10.72555991,10.64653045,10.70297948,10.73859174,10.61364049,10.687655,10.47072106,10.6189754,10.28596323,10.48804593,10.53974231
ENSMUSG00000025135,10.18845215,10.34165012,10.254998,10.45376985,10.26766114,10.23048818,10.28978124,10.31344761,10.19544568,10.27427621,10.59833829,10.4769287,10.45915557,10.5219372,10.51199416,10.47372193,10.54051977,10.49746955,10.40746589,10.47746768
ENSMUSG00000025144,7.808376407,7.90425872,7.876831937,7.825531185,7.979625584,7.873445731,7.725274195,7.880984772,7.81053627,8.047293339,7.886338605,7.979222761,8.027151986,8.018852894,7.906623313,8.00682887,7.932094528,8.155276756,7.984183061,8.079914639
ENSMUSG00000025145,10.81056741,11.02434586,10.81639059,10.86632463,10.82360537,10.95145535,11.01713857,10.77546037,10.86192151,10.64859857,10.9832982,11.14495864,11.06928153,10.97358026,11.00232578,11.14115881,10.88812154,11.10817029,11.15335406,11.05141892
ENSMUSG00000025154,7.695577483,7.714189913,7.84921947,7.641312823,7.552547452,7.739580531,7.746755099,7.665478272,7.614720598,7.80758311,7.785775542,7.575948655,7.73887005,7.508409935,7.887310729,8.029629203,7.812301065,8.056418186,8.099681773,7.841811559
ENSMUSG00000025161,7.125760412,7.099038233,7.097410841,7.098727457,7.023133122,7.027747174,7.116603057,6.980700754,6.899791256,7.140967345,7.341705282,7.137452092,7.16567086,7.037090654,7.047957903,7.269417095,7.302790991,7.266575778,7.22819607,7.338592514
ENSMUSG00000025171,8.037021671,8.12057918,8.120726005,7.953633903,7.954464075,7.910214453,8.034559849,8.06378945,7.879203059,8.023122489,8.183935234,8.136136409,8.066677183,8.157737627,8.015382357,8.22647519,8.026891641,8.311759265,8.244743606,8.225819115
ENSMUSG00000025188,9.71025455,9.653542932,9.530158415,9.639247998,9.497647717,9.781180428,9.67360655,9.52159426,9.539785995,9.587976271,9.913762357,9.800533094,9.728963782,9.66660467,9.768519147,9.815559767,9.938583163,9.915024708,9.815832205,9.906542883
ENSMUSG00000025190,13.62573238,13.71533302,13.68854934,13.73589618,13.69750482,13.65043448,13.69681019,13.63728808,13.66586887,13.70375462,13.70005478,13.69331148,13.6296584,13.7350749,13.74189569,13.47076628,13.55386835,13.38323162,13.36388858,13.50379106
